,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_min_samples_leaf,param_n_estimators,param_max_depth,param_min_samples_split,param_n_jobs,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
47,0.15638275146484376,0.008894111544228684,0.02302417755126953,0.01135625364934916,,,,5,2,"{'min_samples_split': 5, 'n_jobs': 2}",0.989010989010989,0.9560439560439561,0.9230769230769231,0.9560439560439561,0.967032967032967,0.9582417582417584,0.021308482889742096,15
60,0.16698164939880372,0.019453411198969647,0.02521824836730957,0.0128860120548035,,,10,,4,"{'max_depth': 10, 'n_jobs': 4}",0.989010989010989,0.9560439560439561,0.9230769230769231,0.9560439560439561,0.967032967032967,0.9582417582417584,0.021308482889742096,15
40,0.14805388450622559,0.017097504232806888,0.020157623291015624,0.010386666147010564,,,,2,-1,"{'min_samples_split': 2, 'n_jobs': -1}",0.967032967032967,0.9560439560439561,0.945054945054945,0.967032967032967,0.9560439560439561,0.9582417582417582,0.008223422828074603,18
53,0.18400464057922364,0.03096734740896986,0.02321939468383789,0.011938147263055619,,,6,,2,"{'max_depth': 6, 'n_jobs': 2}",0.989010989010989,0.945054945054945,0.9340659340659341,0.9560439560439561,0.967032967032967,0.9582417582417582,0.018906209378115674,18
2,0.14546523094177247,0.008375481986993847,0.012499284744262696,0.006249642376451695,5,100,,,,"{'min_samples_leaf': 5, 'n_estimators': 100}",0.978021978021978,0.9560439560439561,0.945054945054945,0.9560439560439561,0.9560439560439561,0.9582417582417582,0.010766987880365607,18
63,0.15958881378173828,0.023514047205186617,0.023492717742919923,0.011741872474760155,,,12,,4,"{'max_depth': 12, 'n_jobs': 4}",0.978021978021978,0.9560439560439561,0.9230769230769231,0.967032967032967,0.967032967032967,0.9582417582417582,0.018906209378115636,18
55,0.17947025299072267,0.022876647168437184,0.018004846572875977,0.002489789837884029,,,8,,-1,"{'max_depth': 8, 'n_jobs': -1}",0.989010989010989,0.9560439560439561,0.9230769230769231,0.945054945054945,0.967032967032967,0.9560439560439562,0.021978021978021976,22
33,0.1595381736755371,0.017075932447206014,0.013318634033203125,0.0020675817241363648,7,,,3,,"{'min_samples_leaf': 7, 'min_samples_split': 3}",0.989010989010989,0.9560439560439561,0.945054945054945,0.945054945054945,0.945054945054945,0.9560439560439562,0.017024102620691966,22
61,0.15089888572692872,0.018735896871393105,0.022461128234863282,0.01318998132758753,,,12,,-1,"{'max_depth': 12, 'n_jobs': -1}",0.978021978021978,0.967032967032967,0.9230769230769231,0.9560439560439561,0.9560439560439561,0.956043956043956,0.018388132451298337,24
46,0.15305814743041993,0.028759579204133395,0.02350482940673828,0.009773009283757699,,,,5,-1,"{'min_samples_split': 5, 'n_jobs': -1}",0.978021978021978,0.9560439560439561,0.9230769230769231,0.9560439560439561,0.967032967032967,0.956043956043956,0.018388132451298337,24
50,0.14365181922912598,0.006301078578029886,0.024837255477905273,0.007528492749372469,,,,10,2,"{'min_samples_split': 10, 'n_jobs': 2}",0.978021978021978,0.9560439560439561,0.945054945054945,0.9560439560439561,0.945054945054945,0.956043956043956,0.012037858406706946,24
0,0.1870931625366211,0.007246396346866413,0.013191843032836914,0.0033693555073341127,3,100,,,,"{'min_samples_leaf': 3, 'n_estimators': 100}",0.978021978021978,0.9560439560439561,0.9340659340659341,0.9560439560439561,0.9560439560439561,0.956043956043956,0.013900121583157697,24
8,0.13907055854797362,0.0076753766463513425,0.009880304336547852,0.007079328714291612,3,,6,,,"{'max_depth': 6, 'min_samples_leaf': 3}",0.978021978021978,0.9560439560439561,0.945054945054945,0.9560439560439561,0.945054945054945,0.956043956043956,0.012037858406706946,24
21,0.15005707740783691,0.008276286552978908,0.009145832061767578,0.004782621666695313,5,,12,,,"{'max_depth': 12, 'min_samples_leaf': 5}",0.989010989010989,0.9560439560439561,0.9230769230769231,0.9560439560439561,0.945054945054945,0.953846153846154,0.021308482889742106,29
26,0.18228983879089355,0.04036969932898166,0.007122802734375,0.0062007963444673415,3,,,5,,"{'min_samples_leaf': 3, 'min_samples_split': 5}",0.978021978021978,0.9560439560439561,0.9340659340659341,0.9560439560439561,0.945054945054945,0.9538461538461538,0.014578570507056694,30
10,0.14633846282958984,0.00751358463615373,0.012726449966430664,0.004083095040214458,7,,6,,,"{'max_depth': 6, 'min_samples_leaf': 7}",0.978021978021978,0.9560439560439561,0.9230769230769231,0.9560439560439561,0.9560439560439561,0.9538461538461538,0.017582417582417558,30
57,0.16883530616760253,0.017603026924226155,0.024214935302734376,0.006255010498836941,,,8,,4,"{'max_depth': 8, 'n_jobs': 4}",0.978021978021978,0.945054945054945,0.9340659340659341,0.9560439560439561,0.9560439560439561,0.9538461538461538,0.014578570507056694,30
58,0.17963361740112305,0.03194231313751036,0.025711488723754884,0.006746084294247231,,,10,,-1,"{'max_depth': 10, 'n_jobs': -1}",0.967032967032967,0.9560439560439561,0.9340659340659341,0.9560439560439561,0.9560439560439561,0.9538461538461538,0.010766987880365621,30
13,0.16160273551940918,0.021555074001289757,0.01079387664794922,0.0017196640980481027,5,,8,,,"{'max_depth': 8, 'min_samples_leaf': 5}",0.989010989010989,0.967032967032967,0.9120879120879121,0.9560439560439561,0.945054945054945,0.9538461538461538,0.025441399786352164,30
1,0.3318634510040283,0.02530920187710457,0.022938346862792967,0.009678535673920777,3,200,,,,"{'min_samples_leaf': 3, 'n_estimators': 200}",0.978021978021978,0.9560439560439561,0.9230769230769231,0.9560439560439561,0.9560439560439561,0.9538461538461538,0.017582417582417558,30
3,0.3271320819854736,0.03123033453230436,0.021419477462768555,0.007665800350026826,5,200,,,,"{'min_samples_leaf': 5, 'n_estimators': 200}",0.989010989010989,0.945054945054945,0.9340659340659341,0.945054945054945,0.9560439560439561,0.9538461538461538,0.01890620937811568,30
25,0.17074141502380372,0.03649819421010616,0.02831578254699707,0.02266146262569049,3,,,3,,"{'min_samples_leaf': 3, 'min_samples_split': 3}",0.978021978021978,0.9560439560439561,0.9120879120879121,0.9560439560439561,0.9560439560439561,0.9516483516483516,0.021533975760731242,37
35,0.14909982681274414,0.0046635453606742585,0.009993886947631836,0.0006321083404490378,7,,,10,,"{'min_samples_leaf': 7, 'min_samples_split': 10}",0.978021978021978,0.9560439560439561,0.9230769230769231,0.945054945054945,0.9560439560439561,0.9516483516483516,0.01785502946073835,37
56,0.1786485195159912,0.019644112126789685,0.024276924133300782,0.005111123410321663,,,8,,2,"{'max_depth': 8, 'n_jobs': 2}",0.967032967032967,0.9560439560439561,0.9340659340659341,0.945054945054945,0.9560439560439561,0.9516483516483516,0.011206636293610524,37
14,0.1451930046081543,0.0067986193034904815,0.012726640701293946,0.004531908041549787,7,,8,,,"{'max_depth': 8, 'min_samples_leaf': 7}",0.978021978021978,0.9560439560439561,0.9340659340659341,0.9560439560439561,0.9340659340659341,0.9516483516483516,0.01644684565614918,37
30,0.175881290435791,0.035844333872563534,0.010447263717651367,0.005714077368083541,5,,,5,,"{'min_samples_leaf': 5, 'min_samples_split': 5}",0.989010989010989,0.9560439560439561,0.9120879120879121,0.945054945054945,0.9560439560439561,0.9516483516483516,0.024670268484223812,37
20,0.14478559494018556,0.01159371033469879,0.012719297409057617,0.0019254814025174611,3,,12,,,"{'max_depth': 12, 'min_samples_leaf': 3}",0.978021978021978,0.945054945054945,0.9230769230769231,0.9560439560439561,0.9560439560439561,0.9516483516483516,0.01785502946073835,37
49,0.14998936653137207,0.0076540520046254,0.02391161918640137,0.007051550059153277,,,,10,-1,"{'min_samples_split': 10, 'n_jobs': -1}",0.978021978021978,0.945054945054945,0.9340659340659341,0.9560439560439561,0.945054945054945,0.9516483516483516,0.014906219743132448,37
16,0.14419679641723632,0.012492563203176111,0.009840965270996094,0.0086487118101658,3,,10,,,"{'max_depth': 10, 'min_samples_leaf': 3}",0.978021978021978,0.9560439560439561,0.9230769230769231,0.9560439560439561,0.945054945054945,0.9516483516483516,0.01785502946073835,37
28,0.1566070556640625,0.02595901336615612,0.012246036529541015,0.0027583281553135723,5,,,2,,"{'min_samples_leaf': 5, 'min_samples_split': 2}",0.978021978021978,0.9560439560439561,0.9340659340659341,0.9560439560439561,0.9340659340659341,0.9516483516483516,0.01644684565614918,37
27,0.1343390941619873,0.006079917994436933,0.01281442642211914,0.006436219577622383,3,,,10,,"{'min_samples_leaf': 3, 'min_samples_split': 10}",0.978021978021978,0.945054945054945,0.9340659340659341,0.9560439560439561,0.945054945054945,0.9516483516483516,0.014906219743132448,37
51,0.1568436622619629,0.020271142214013615,0.02812304496765137,0.01169164707042402,,,,10,4,"{'min_samples_split': 10, 'n_jobs': 4}",0.978021978021978,0.9560439560439561,0.9230769230769231,0.945054945054945,0.945054945054945,0.9494505494505494,0.017855029460738355,47
11,0.14894375801086426,0.01431347439057375,0.009321355819702148,0.0051052204114822195,10,,6,,,"{'max_depth': 6, 'min_samples_leaf': 10}",0.978021978021978,0.967032967032967,0.9230769230769231,0.945054945054945,0.9340659340659341,0.9494505494505494,0.02038157911097955,47
31,0.17113513946533204,0.022891363419443717,0.013254356384277344,0.007849956826536995,5,,,10,,"{'min_samples_leaf': 5, 'min_samples_split': 10}",0.978021978021978,0.945054945054945,0.9230769230769231,0.9560439560439561,0.945054945054945,0.9494505494505494,0.017855029460738355,47
